ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12217472,JD426803,11/10/20 2:00,034XX N KEDZIE AVE,610,BURGLARY,FORCIBLE ENTRY,AUTO / BOAT / RV DEALERSHIP,FALSE,FALSE,1733,17,35,21,5,,,2020,11/17/20 15:49,,,
12217849,JD427419,11/10/20 14:27,049XX W HIRSCH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,2533,25,37,25,14,,,2020,11/17/20 15:49,,,
12218217,JD427885,11/10/20 22:30,010XX N CALIFORNIA AVE,820,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,1211,12,26,24,6,,,2020,11/17/20 15:49,,,
12219017,JD428194,11/10/20 19:00,110XX S EBERHART AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - GARAGE,FALSE,FALSE,513,5,9,49,14,,,2020,11/17/20 15:49,,,
12219968,JD429972,11/10/20 16:50,006XX W BELMONT AVE,560,ASSAULT,SIMPLE,LIBRARY,FALSE,FALSE,1925,19,44,6,08A,,,2020,11/17/20 15:49,,,
12222840,JD433111,11/8/20 20:00,048XX W WRIGHTWOOD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,2521,25,31,19,11,,,2020,11/17/20 15:49,,,
12217816,JD427381,11/10/20 14:15,036XX N LAKE SHORE DR,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,1925,19,46,6,11,,,2020,11/17/20 15:49,,,
12219817,JD429473,11/10/20 23:00,004XX W FULLERTON PKWY,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1935,19,43,7,6,,,2020,11/17/20 15:49,,,
12222591,JD433013,11/5/20 8:00,009XX W ARGYLE ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,FALSE,FALSE,2024,20,48,3,11,,,2020,11/17/20 15:49,,,
12217798,JD427450,11/10/20 16:00,096XX S WENTWORTH AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,FALSE,FALSE,511,5,21,49,3,,,2020,11/17/20 15:49,,,
