,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
0,12217472,JD426803,11/10/20 2:00,034XX N KEDZIE AVE,610,BURGLARY,FORCIBLE ENTRY,AUTO / BOAT / RV DEALERSHIP,False,False,1733,17,35,21,5,,,2020,11/17/20 15:49,,,
1,12217849,JD427419,11/10/20 14:27,049XX W HIRSCH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2533,25,37,25,14,,,2020,11/17/20 15:49,,,
2,12218217,JD427885,11/10/20 22:30,010XX N CALIFORNIA AVE,820,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,False,False,1211,12,26,24,6,,,2020,11/17/20 15:49,,,
3,12219017,JD428194,11/10/20 19:00,110XX S EBERHART AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - GARAGE,False,False,513,5,9,49,14,,,2020,11/17/20 15:49,,,
4,12219968,JD429972,11/10/20 16:50,006XX W BELMONT AVE,560,ASSAULT,SIMPLE,LIBRARY,False,False,1925,19,44,6,08A,,,2020,11/17/20 15:49,,,
5,12222840,JD433111,11/8/20 20:00,048XX W WRIGHTWOOD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,2521,25,31,19,11,,,2020,11/17/20 15:49,,,
6,12217816,JD427381,11/10/20 14:15,036XX N LAKE SHORE DR,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1925,19,46,6,11,,,2020,11/17/20 15:49,,,
7,12219817,JD429473,11/10/20 23:00,004XX W FULLERTON PKWY,820,THEFT,$500 AND UNDER,STREET,False,False,1935,19,43,7,6,,,2020,11/17/20 15:49,,,
8,12222591,JD433013,11/5/20 8:00,009XX W ARGYLE ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,2024,20,48,3,11,,,2020,11/17/20 15:49,,,
9,12217798,JD427450,11/10/20 16:00,096XX S WENTWORTH AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,511,5,21,49,3,,,2020,11/17/20 15:49,,,
10,12222448,JD432821,10/11/20 0:01,061XX W MIAMI AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,POOL ROOM,False,False,1611,16,39,10,11,,,2020,11/17/20 15:49,,,
11,12218074,JD426780,11/10/20 6:12,059XX S MICHIGAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,232,2,20,40,08B,,,2020,11/17/20 15:49,,,
14,12219377,JD429264,11/10/20 10:00,020XX N HOYNE AVE,820,THEFT,$500 AND UNDER,STREET,False,False,1432,14,32,22,6,,,2020,11/17/20 15:49,,,
15,12217534,JD426826,11/10/20 4:00,016XX S KEELER AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,1012,10,24,29,5,,,2020,11/17/20 15:49,,,
16,12218120,JD427786,11/10/20 22:04,0000X E LAKE ST,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,111,1,42,32,3,,,2020,11/17/20 15:49,,,
17,12219610,JD429300,11/10/20 23:47,058XX S KILBOURN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,813,8,13,62,14,,,2020,11/17/20 15:49,,,
18,12218098,JD427680,11/10/20 21:06,005XX W 80TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,621,6,17,44,15,,,2020,11/17/20 15:49,,,
19,12217829,JD427407,11/10/20 12:30,043XX N KIMBALL AVE,860,THEFT,RETAIL THEFT,CONVENIENCE STORE,False,False,1723,17,35,16,6,,,2020,11/17/20 15:49,,,
